team,wyId,wyscout_name,wyscout_fine,wyscout_coarse,sportradar_id,sportradar_name,sportradar_position,sportradar_coarse,match
Oţelul Galaţi,650096,Luan,AM,MID,,,,,False
Oţelul Galaţi,363588,R. Trif,FB,DEF,,,,,False
Hermannstadt,1085571,L. Stancu,FB,DEF,sr:player:2587467,"Stancu, Luca",defender,DEF,True
Hermannstadt,875968,K. Ciubotaru,FB,DEF,sr:player:2482423,"Ciubotaru, Kevin",defender,DEF,True
Hermannstadt,731172,C. Afalna,ST,FWD,sr:player:2334375,"Afalna, Christ",midfielder,MID,False
Hermannstadt,607434,A. Oroian,WF,FWD,,,,,False
Hermannstadt,590121,A. Zargari,DM,MID,,,,,False
Hermannstadt,580951,N. Antwi,FB,DEF,,,,,False
Hermannstadt,568864,M. Simba,WF,FWD,sr:player:1012593,"Simba, Moonga",midfielder,MID,False
Hermannstadt,517742,M. Gjorgjievski,ST,FWD,sr:player:1319788,"Gjorgjievski, Marko",forward,FWD,True
Hermannstadt,84343,A. Chițu,ST,FWD,sr:player:115585,"Chitu, Aurelian Ionut",forward,FWD,True
Hermannstadt,83820,D. Lazar,GK,GK,sr:player:131433,"Lazar, David",goalkeeper,GK,True
Hermannstadt,84047,S. Buș,ST,FWD,sr:player:70723,"Bus, Sergiu Florin",forward,FWD,True
Hermannstadt,136551,A. Karo,CB,DEF,sr:player:186735,"Karo, Andreas",defender,DEF,True
Hermannstadt,224047,B. Chorbadzhiyski,CB,DEF,sr:player:252473,"Chorbadzhiyski, Bozhidar",defender,DEF,True
Hermannstadt,227957,I. Stoica,CB,DEF,sr:player:302988,"Stoica, Ionut",defender,DEF,True
Hermannstadt,270318,A. Ivanov,DM,MID,,,,,False
Hermannstadt,331434,E. Florescu,AM,MID,sr:player:562036,"Florescu, Eduard",midfielder,MID,True
Hermannstadt,346542,T. Căpușă,CB,DEF,sr:player:756356,"Capusa, Tiberiu",defender,DEF,True
Hermannstadt,376363,Jair,WF,FWD,sr:player:984763,Jair,midfielder,MID,False
Hermannstadt,380865,C. Neguţ,WF,FWD,sr:player:973435,"Negut, Cristian Daniel",forward,FWD,True
Hermannstadt,481134,D. Politic,WF,FWD,sr:player:1089720,"Politic, Dennis",midfielder,MID,False
Hermannstadt,545275,D. Albu,CM,MID,sr:player:1383003,"Albu, Dragos",midfielder,MID,True
Hermannstadt,849722,P. Patrick Vuc,ST,FWD,,,,,False
Hermannstadt,644450,K. Kujabi,DM,MID,sr:player:2417165,"Kujabi, Kalifa",midfielder,MID,True
